Unnamed: 0,id,name,lat,lon,splitFailurePct,startDate,endDate,day count,startTime,endTime,days_of_week,reportID,lookup,ID,Month,Year,Time,totalVehicleVolume,start_dt,month_no,year_no,crash_count,crashes per 1000 veh,total_crashes,tot crashes per 1000 veh
32220,30.3346_-97.7516,Northland Drive,30.33459,-97.75156,0.024,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,111016,44652,4,2022,0,0,0,0
32221,30.3523_-97.6751,Dessau Road & Dungan Lane,30.35228,-97.6751,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,107514,44652,4,2022,0,0,9,0.083710028
32222,30.3577_-97.7001,Payton Gin Road & North Lamar Boulevard,30.35767,-97.70009,1.464,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,85951,44652,4,2022,0,0,17,0.197787111
32223,30.3583_-97.7356,West Anderson Lane & Northcross Drive,30.35831,-97.73556,0.08,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,80717,44652,4,2022,1,1.2389E-05,3,0.037166892
32224,30.3589_-97.7878,Lakewood Drive & RM 2222,30.35887,-97.78779,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,154536,44652,4,2022,1,6.47098E-06,3,0.019412952
32225,30.3647_-97.7351,Steck Avenue & Rockwood Lane,30.36467,-97.73506,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,34394,44652,4,2022,1,2.90748E-05,2,0.058149677
32226,30.3824_-97.8131,RM 2222 & Park Centre,30.38236,-97.81311,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,215368,44652,4,2022,0,0,1,0.004643215
32227,30.3845_-97.6850,North Bend Drive & North Lamar Boulevard,30.3845,-97.68498,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,76382,44652,4,2022,0,0,2,0.02618418
32228,30.4111_-97.6779,North Lamar Boulevard,30.41107,-97.67787,0.047,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,35638,44652,4,2022,0,0,2,0.056119872
32229,30.4503_-97.7474,West Parmer Lane & Dallas Drive,30.45028,-97.74743,0.046,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,152441,44652,4,2022,0,0,0,0
32230,30.1633_-97.8007,South 1st Street & Taft Lane,30.16329,-97.80072,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,106251,44652,4,2022,0,0,2,0.018823352
32231,30.1766_-97.8340,West Slaughter Lane & Curlew Drive,30.17658,-97.834,0.173,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,115270,44652,4,2022,0,0,3,0.026025852
32232,30.1932_-97.7389,East Stassney Lane & Nuckols Crossing Road,30.1932,-97.7389,2.49,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,65464,44652,4,2022,0,0,15,0.22913357
32233,30.1992_-97.7936,West William Cannon Drive,30.19925,-97.79363,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,124077,44652,4,2022,0,0,3,0.024178534
32234,30.2009_-97.8388,Alexandria Drive & Brodie Lane,30.20085,-97.83876,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,108772,44652,4,2022,0,0,2,0.018387085
32235,30.2070_-97.8350,Harpers Ferry Lane & Brodie Lane,30.20701,-97.83495,0.02,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,120138,44652,4,2022,0,0,7,0.058266327
32236,30.2157_-97.7525,East Ben White Boulevard & South Interstate 35,30.21574,-97.75253,0.722,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,98466,44652,4,2022,0,0,8,0.081246319
32237,30.2230_-97.7471,South Interstate 35 & Woodward Street,30.22298,-97.74707,0.087,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,91468,44652,4,2022,2,2.18656E-05,13,0.142126208
32238,30.2281_-97.7791,Banister Lane & West Ben White Boulevard,30.22811,-97.77913,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,22017,44652,4,2022,0,0,3,0.136258346
32239,30.2347_-97.7437,East Oltorf Street,30.23467,-97.74371,0.369,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,104381,44652,4,2022,0,0,9,0.086222588
